job_skill_name,primary_keyword_1,primary_keyword_2,search_keywords,notes
Account Executive,業務專員,客戶業務,"業務專員, 客戶業務",保留中文/中英混合關鍵字；已排除純英文 role title
Account Manager,客戶經理,帳戶經理,"客戶經理, 帳戶經理",保留中文/中英混合關鍵字；已排除純英文 role title
Accountant,會計專員,會計人員,"會計專員, 會計人員",保留中文/中英混合關鍵字；已排除純英文 role title
Accounting Analyst,會計分析師,財會分析師,"會計分析師, 財會分析師",保留中文/中英混合關鍵字；已排除純英文 role title
Actuarial Analyst,精算分析師,精算人員,"精算分析師, 精算人員",保留中文/中英混合關鍵字；已排除純英文 role title
Actuary,精算師,,精算師,保留中文/中英混合關鍵字；已排除純英文 role title
Analytics Consultant,數據分析顧問,分析顧問,"數據分析顧問, 分析顧問",保留中文/中英混合關鍵字；已排除純英文 role title
Analytics Engineer,分析工程師,,分析工程師,保留中文/中英混合關鍵字；已排除純英文 role title
Applied Scientist,應用科學家,,應用科學家,保留中文/中英混合關鍵字；已排除純英文 role title
Asset Management Analyst,資產管理分析師,,資產管理分析師,保留中文/中英混合關鍵字；已排除純英文 role title
Assistant Manager,助理經理,副理,"助理經理, 副理",保留中文/中英混合關鍵字；已排除純英文 role title
Associate Consultant,助理顧問,初階顧問,"助理顧問, 初階顧問",保留中文/中英混合關鍵字；已排除純英文 role title
Associate Product Manager,助理產品經理,初階產品經理,"助理產品經理, 初階產品經理",保留中文/中英混合關鍵字；已排除純英文 role title
Assurance Associate,審計專員,確信服務專員,"審計專員, 確信服務專員",保留中文/中英混合關鍵字；已排除純英文 role title
Audit Associate,審計專員,審計助理,"審計專員, 審計助理",保留中文/中英混合關鍵字；已排除純英文 role title
BI Analyst,商業智慧分析師,BI分析師,"商業智慧分析師, BI分析師",保留中文/中英混合關鍵字；已排除純英文 role title；含英文縮寫但具中文職稱語境
BI Developer,商業智慧開發工程師,BI開發工程師,"商業智慧開發工程師, BI開發工程師",保留中文/中英混合關鍵字；已排除純英文 role title；含英文縮寫但具中文職稱語境
BI Engineer,商業智慧工程師,BI工程師,"商業智慧工程師, BI工程師",保留中文/中英混合關鍵字；已排除純英文 role title；含英文縮寫但具中文職稱語境
Backend Engineer,後端工程師,,後端工程師,保留中文/中英混合關鍵字；已排除純英文 role title
Banking Risk Analyst,銀行風險分析師,金融風險分析師,"銀行風險分析師, 金融風險分析師",保留中文/中英混合關鍵字；已排除純英文 role title
Brand Manager,品牌經理,品牌行銷經理,"品牌經理, 品牌行銷經理",保留中文/中英混合關鍵字；已排除純英文 role title
Brand Specialist,品牌專員,品牌行銷專員,"品牌專員, 品牌行銷專員",保留中文/中英混合關鍵字；已排除純英文 role title
Budget Analyst,預算分析師,預算管理師,"預算分析師, 預算管理師",保留中文/中英混合關鍵字；已排除純英文 role title
Business Analyst,商業分析師,,商業分析師,保留中文/中英混合關鍵字；已排除純英文 role title
Business Consultant,商業顧問,企業顧問,"商業顧問, 企業顧問",保留中文/中英混合關鍵字；已排除純英文 role title
